"Accl.","Zone","El�ment","X","Y","Z","Dist. cumul.","Longueur","D�flexion","Corhgeo","Gisement","Pente Z","Tilt Z","Date&nbsp;Calcul","Comm","Id point ","Id assemb.","Id slot"
"BR","360","BPMTR1.3L1.E","1866.117221","2123.384434","2433.660000","21.423904","-","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779369","-","-"
"BR","360","BPMTR3.3L1.E","1866.117221","2123.384434","2433.660000","21.423904","-","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779373","-","-"
"BR","360","BPMT.3L1.E","1866.117129","2123.384473","2433.660000","21.424004","-","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","08-FEB-2018","-","779174","2452421","2452421"
"BR","360","BPMTR2.3L1.E","1866.117037","2123.384511","2433.660000","21.424104","-","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779371","-","-"
"BR","360","BPMTR4.3L1.E","1866.117037","2123.384511","2433.660000","21.424104","-","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779375","-","-"
"BR","360","BPMTR1.3L1.S","1865.648753","2123.580908","2433.660000","21.931904","0.508000","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779370","-","-"
"BR","360","BPMTR3.3L1.S","1865.648753","2123.580908","2433.660000","21.931904","0.508000","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779374","-","-"
"BR","360","BPMT.3L1.S","1865.648661","2123.580947","2433.660000","21.932004","0.508000","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","08-FEB-2018","-","779175","2452421","2452421"
"BR","360","BPMTR2.3L1.S","1865.648569","2123.580985","2433.660000","21.932104","0.508000","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779372","-","-"
"BR","360","BPMTR4.3L1.S","1865.648569","2123.580985","2433.660000","21.932104","0.508000","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","14-FEB-2018","-","779376","-","-"
"BR","360","BHZ.31.E","1865.319440","2123.719010","2433.660000","22.289004","-","0.098175000","0.000000","325.2811280","0.000000000","0.000000000","19-JUN-1990","-","80285","2458943","2458943"
"BR","360","BHZ.31.S","1863.775970","2124.194670","2433.660000","23.906700","1.617696","0.098175000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80286","2458943","2458943"
"BR","360","QFO.31.E","1863.393690","2124.272460","2433.660000","24.296800","-","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80287","2458947","2458947"
"BR","360","QFO.31.S","1862.946840","2124.363400","2433.660000","24.752800","0.456000","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80288","2458947","2458947"
"BR","360","BPM.3L3.E","1862.852770","2124.382540","2433.660000","24.848800","-","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80457","2452422","2458959"
"BR","360","BPM.3L3.S","1862.354980","2124.483850","2433.660000","25.356800","0.508000","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80458","2452422","2458959"
"BR","360","QDE.3.E","1862.260900","2124.502990","2433.660000","25.452800","-","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80289","2458965","2458965"
"BR","360","QDE.3.S","1861.443650","2124.669300","2433.660000","26.286800","0.834000","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80290","2458965","2458965"
"BR","360","MCC.3L4.E","1861.356440","2124.687050","2433.660000","26.375800","-","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80291","2452429","2452429"
"BR","360","MCC.3L4.S","1860.844930","2124.791150","2433.660000","26.897800","0.522000","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80292","2452429","2452429"
"BR","360","QFO.32.E","1860.756730","2124.809090","2433.660000","26.987800","-","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80293","2458948","2458948"
"BR","360","QFO.32.S","1860.309890","2124.900030","2433.660000","27.443800","0.456000","0.000000000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80294","2458948","2458948"
"BR","360","BHZ.32.E","1859.926690","2124.978010","2433.660000","27.834800","-","0.098175000","0.000000","312.7808530","0.000000000","0.000000000","19-JUN-1990","-","80295","2458944","2458944"
"BR","360","BHZ.32.S","1858.320080","2125.143410","2433.660000","29.452496","1.617696","0.098175000","0.000000","300.2806400","0.000000000","0.000000000","19-JUN-1990","-","80296","2458944","2458944"
"BR","360","MM.4L1.E","1858.211081","2125.143891","2433.660000","29.561496","-","0.000000000","0.000000","300.2806400","0.000000000","0.000000000","29-JUL-2015","-","773895","2452433","2452433"
"BR","360","MM.4L1.S","1857.689086","2125.146192","2433.660000","30.083496","0.522000","0.000000000","0.000000","300.2806400","0.000000000","0.000000000","29-JUL-2015","-","773896","2452433","2452433"
"BR","360","MCC.4L1.E","1857.155091","2125.148546","2433.660000","30.617496","-","0.000000000","0.000000","300.2806400","0.000000000","0.000000000","29-JUL-2015","-","773897","2452437","2452437"
"BR","360","BSGH.4L1.E","1857.132092","2125.148647","2433.660000","30.640496","-","0.000000000","0.000000","300.2806400","0.000000000","0.000000000","01-FEB-2018","-","779051","-","-"
"BR","360","BSGH.4L1.S","1856.836094","2125.149952","2433.660000","30.936496","0.296000","0.000000000","0.000000","300.2806400","0.000000000","0.000000000","01-FEB-2018","-","779052","-","-"
